exercise_name,type,bodypart,equipment,target
smith upright row,none,shoulders,smith machine,delts
smith wide grip bench press,none,chest,smith machine,pectorals
smith wide grip decline bench press,none,chest,smith machine,pectorals
snatch pull,none,upper legs,barbell,quads
spell caster,none,waist,dumbbell,abs
sphinx,none,back,body weight,spine
spider crawl push up,none,upper legs,body weight,glutes
spine stretch,none,back,body weight,spine
spine twist,none,waist,body weight,abs
split squats,none,upper legs,body weight,quads
squat jerk,none,upper legs,barbell,quads
squat on bosu ball,none,upper legs,bosu ball,quads
squat to overhead reach,none,upper legs,body weight,quads
squat to overhead reach with twist,none,upper legs,body weight,quads
stability ball crunch (full range hands behind head),none,waist,stability ball,abs
stalder press,none,upper arms,body weight,triceps
standing archer,none,back,body weight,upper back
standing behind neck press,none,shoulders,barbell,delts
standing calf raise (on a staircase),none,lower legs,body weight,calves
standing calves,none,lower legs,body weight,calves
standing calves calf stretch,none,lower legs,body weight,calves
standing hamstring and calf stretch with strap,none,upper legs,rope,hamstrings
standing lateral stretch,none,back,body weight,lats
standing pelvic tilt,none,back,body weight,spine
standing single leg curl,none,upper legs,body weight,hamstrings
standing wheel rollerout,none,waist,wheel roller,abs
star jump (male),none,cardio,body weight,cardiovascular system
stationary bike run v. 3,none,cardio,stationary bike,cardiovascular system
stationary bike walk,none,cardio,leverage machine,cardiovascular system
straddle maltese,none,waist,body weight,abs
straddle planche,none,waist,body weight,abs
straight leg outer hip abductor,none,upper legs,body weight,abductors
superman push-up,none,chest,body weight,pectorals
suspended abdominal fallout,none,waist,body weight,abs
suspended push-up,none,chest,body weight,pectorals
suspended reverse crunch,none,waist,body weight,abs
suspended row,none,back,body weight,upper back
suspended split squat,none,upper legs,body weight,quads
swimmer kicks v. 2 (male),none,upper legs,body weight,glutes
swing 360,none,cardio,body weight,cardiovascular system
three bench dip,none,upper arms,body weight,triceps
tire flip,none,upper legs,tire,glutes
trap bar deadlift,none,upper legs,trap bar,glutes
triceps dip,none,upper arms,body weight,triceps
triceps dip (bench leg),none,upper arms,body weight,triceps
triceps dip (between benches),none,upper arms,body weight,triceps
triceps dips floor,none,upper arms,body weight,triceps
triceps press,none,upper arms,body weight,triceps
triceps stretch,none,upper arms,body weight,triceps
tuck crunch,none,waist,body weight,abs
twin handle parallel grip lat pulldown,none,back,cable,lats
twist hip lift,none,upper legs,body weight,glutes
twisted leg raise,none,waist,body weight,abs
twisted leg raise (female),none,waist,body weight,abs
two toe touch (male),none,back,body weight,spine
upper back stretch,none,back,body weight,upper back
upward facing dog,none,back,body weight,spine
v-sit on floor,none,waist,body weight,abs
vertical leg raise (on parallel bars),none,waist,body weight,abs
walk elliptical cross trainer,none,cardio,elliptical machine,cardiovascular system
walking high knees lunge,none,cardio,body weight,cardiovascular system
walking lunge,none,upper legs,body weight,glutes
walking on incline treadmill,none,cardio,leverage machine,cardiovascular system
walking on stepmill,none,cardio,stepmill machine,cardiovascular system
weighted bench dip,none,upper arms,weighted,triceps
weighted close grip chin-up on dip cage,none,back,weighted,lats
weighted cossack squats (male),none,upper legs,weighted,glutes
weighted crunch,none,waist,weighted,abs
weighted decline sit-up,none,waist,weighted,abs
weighted donkey calf raise,none,lower legs,weighted,calves
weighted drop push up,none,chest,weighted,pectorals
weighted front plank,none,waist,weighted,abs
weighted front raise,none,shoulders,weighted,delts
weighted hanging leg-hip raise,none,waist,weighted,abs
weighted hyperextension (on stability ball),none,back,weighted,spine
weighted kneeling step with swing,none,shoulders,weighted,delts
weighted lunge with swing,none,upper legs,weighted,glutes
weighted muscle up,none,back,weighted,lats
weighted muscle up (on bar),none,back,weighted,lats
weighted one hand pull up,none,back,weighted,lats
weighted overhead crunch (on stability ball),none,waist,weighted,abs
weighted pull-up,none,back,weighted,lats
weighted round arm,none,shoulders,weighted,delts
weighted russian twist,none,waist,weighted,abs
weighted russian twist (legs up),none,waist,weighted,abs
weighted russian twist v. 2,none,waist,weighted,abs
weighted seated bicep curl (on stability ball),none,upper arms,medicine ball,biceps
weighted seated twist (on stability ball),none,waist,weighted,abs
weighted side bend (on stability ball),none,waist,weighted,abs
weighted sissy squat,none,upper legs,weighted,quads
weighted squat,none,upper legs,weighted,glutes
weighted standing curl,none,upper arms,weighted,biceps
weighted standing hand squeeze,none,lower arms,weighted,forearms
weighted straight bar dip,none,chest,weighted,pectorals
weighted stretch lunge,none,upper legs,weighted,glutes
weighted svend press,none,chest,weighted,pectorals
weighted three bench dips,none,upper arms,weighted,triceps
weighted tricep dips,none,upper arms,weighted,triceps
weighted triceps dip on high parallel bars,none,upper arms,weighted,triceps
wheel rollerout,none,waist,wheel roller,abs
wheel run,none,cardio,body weight,cardiovascular system
wide grip pull-up,none,back,body weight,lats
wide grip rear pull-up,none,back,body weight,lats
wide hand push up,none,chest,body weight,pectorals
wide-grip chest dip on high parallel bars,none,chest,body weight,pectorals
wind sprints,none,waist,body weight,abs
world greatest stretch,none,upper legs,body weight,hamstrings
wrist circles,none,lower arms,body weight,forearms
wrist rollerer,none,lower arms,weighted,forearms
